participant_id,label,item_order,no,item,condition,counterbalancing,left,right,r1_rt,r2_rt,r3_rt,r4_rt,r5_rt,r6_rt,r7_rt,question_rt,choice_rt,choice_side,choice_time,et_calibration,et_calibration_time,et_file,et_file_time,left_dominant,left_fixation_count,left_dwell,left_tff,left_revisits,left_avg_fix,right_dominant,right_fixation_count,right_dwell,right_tff,right_revisits,right_avg_fix
a,experiment,34,29.0,,n,munkás,földműves,participant_id,0.0,319.0,220.0,222.0,226.0,,184.0,1645.0,3156.0,left,1758195961532.0,80,1758195948186.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195962538.0,1.0,4.0,1720.0,151.0,3.0,430.0,0.0,5.0,1031.0,0.0,4.0,206.2
a,experiment,35,2.0,,y,2b,2a,participant_id,0.0,448.0,510.0,139.0,201.0,221.0,247.0,,6905.0,left,1758196017436.0,73,1758196000634.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196018454.0,0.0,1.0,43.0,1094.0,0.0,43.0,1.0,2.0,1577.0,0.0,1.0,788.5
a,experiment,36,5.0,,n,5a,5b,participant_id,0.0,208.0,180.0,153.0,173.0,166.0,177.0,,3849.0,right,1758196066202.0,74,1758196056684.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196067205.0,1.0,2.0,1871.0,37.0,1.0,935.5,0.0,2.0,202.0,0.0,1.0,101.0
a,experiment,37,28.0,,y,Mária,Julcsi,participant_id,0.0,171.0,165.0,184.0,167.0,,172.0,2833.0,4887.0,right,1758195756807.0,75,1758195743601.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195757825.0,1.0,8.0,3066.0,0.0,7.0,383.25,0.0,8.0,1772.0,38.0,7.0,221.5
a,experiment,38,1.0,,n,1a,1b,participant_id,0.0,222.0,188.0,180.0,169.0,331.0,335.0,,4972.0,left,1758196316287.0,80,1758196305484.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196317320.0,0.0,1.0,42.0,0.0,0.0,42.0,1.0,1.0,1745.0,42.0,0.0,1745.0
a,experiment,39,12.0,,n,12a,12b,participant_id,0.0,363.0,222.0,199.0,145.0,227.0,256.0,,5304.0,left,1758195862614.0,74,1758195851143.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195863622.0,0.0,7.0,1264.0,0.0,6.0,180.57142857142858,1.0,6.0,2550.0,369.0,5.0,425.0
a,experiment,40,19.0,,y,szakács,dolgozó,participant_id,0.0,172.0,162.0,171.0,165.0,,175.0,4629.0,3267.0,right,1758196247495.0,75,1758196234139.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196248512.0,0.0,6.0,1193.0,79.0,5.0,198.83333333333334,1.0,5.0,1672.0,371.0,4.0,334.4
a,experiment,41,25.0,,y,ügyész,tudós,participant_id,0.0,339.0,305.0,329.0,380.0,,436.0,2164.0,2939.0,right,1758196083749.0,77,1758196071235.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196084773.0,1.0,7.0,2902.0,0.0,6.0,414.57142857142856,0.0,6.0,334.0,280.0,5.0,55.666666666666664
a,experiment,42,26.0,,n,professzor,pilóta,participant_id,0.0,185.0,174.0,201.0,176.0,,183.0,1717.0,4057.0,right,1758195879167.0,75,1758195867654.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195880183.0,0.0,5.0,868.0,38.0,4.0,173.6,1.0,6.0,1357.0,0.0,5.0,226.16666666666666
a,experiment,43,33.0,,n,burgonya,paradicsom,participant_id,0.0,433.0,184.0,187.0,257.0,,189.0,,4516.0,left,1758195810744.0,73,1758195796785.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195811750.0,0.0,4.0,774.0,0.0,3.0,193.5,1.0,3.0,1052.0,45.0,2.0,350.6666666666667
a,experiment,44,8.0,,y,8b,8a,participant_id,0.0,450.0,216.0,234.0,174.0,179.0,297.0,,5136.0,left,1758196121345.0,72,1758196105862.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196122351.0,0.0,4.0,1460.0,0.0,3.0,365.0,1.0,3.0,1555.0,1016.0,2.0,518.3333333333334
