MD5,trial,label,PennElementType,PennElementName,Parameter,Value,participant_id,group,no,item,exp,condition,cb,left,right,target,results_time,event_time,elapsed_ms
5ea96059c7f8c9bb71d4ecdb67ea496e,11,experiment,Key,r5,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,94,28,2,other-directed-x,y,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:08:04.034000+00:00,853.0
5ea96059c7f8c9bb71d4ecdb67ea496e,11,experiment,Key,r7,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,94,28,2,other-directed-x,y,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:08:04.752000+00:00,718.0
5ea96059c7f8c9bb71d4ecdb67ea496e,11,experiment,Key,question,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,94,28,2,other-directed-x,y,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:08:05.773000+00:00,1021.0
5ea96059c7f8c9bb71d4ecdb67ea496e,11,experiment,Selector,choice_selector,Selection,right_canvas,60d26e7cd9f0761e4d12b9f8,a,94,28,2,other-directed-x,y,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:08:11.367000+00:00,5594.0
5ea96059c7f8c9bb71d4ecdb67ea496e,12,experiment,EyeTracker,tracker,calibration,59,60d26e7cd9f0761e4d12b9f8,a,76,24,2,other-directed,y,mérnök,építész,építész,2025-09-22 16:33:59+00:00,2025-09-22 16:08:15.416000+00:00,4043.0
5ea96059c7f8c9bb71d4ecdb67ea496e,12,experiment,EyeTracker,tracker,calibration,72,60d26e7cd9f0761e4d12b9f8,a,76,24,2,other-directed,y,mérnök,építész,építész,2025-09-22 16:33:59+00:00,2025-09-22 16:08:57.480000+00:00,42064.0
5ea96059c7f8c9bb71d4ecdb67ea496e,12,experiment,EyeTracker,tracker,Filename,httpsfarmpcibexnetpzCPVqO/e48687db-1afc-905a-9709-fabcc6e4dfe4,60d26e7cd9f0761e4d12b9f8,a,76,24,2,other-directed,y,mérnök,építész,építész,2025-09-22 16:33:59+00:00,2025-09-22 16:09:16.826000+00:00,19346.0
5ea96059c7f8c9bb71d4ecdb67ea496e,12,experiment,Canvas,right_canvas,Print,NA,60d26e7cd9f0761e4d12b9f8,a,76,24,2,other-directed,y,mérnök,építész,építész,2025-09-22 16:33:59+00:00,2025-09-22 16:09:15.719000+00:00,-1107.0
5ea96059c7f8c9bb71d4ecdb67ea496e,12,experiment,Key,r0,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,76,24,2,other-directed,y,mérnök,építész,építész,2025-09-22 16:33:59+00:00,2025-09-22 16:09:04.618000+00:00,-11101.0
5ea96059c7f8c9bb71d4ecdb67ea496e,12,experiment,Key,r1,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,76,24,2,other-directed,y,mérnök,építész,építész,2025-09-22 16:33:59+00:00,2025-09-22 16:09:05.766000+00:00,1148.0
5ea96059c7f8c9bb71d4ecdb67ea496e,12,experiment,Key,r2,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,76,24,2,other-directed,y,mérnök,építész,építész,2025-09-22 16:33:59+00:00,2025-09-22 16:09:06.753000+00:00,987.0
5ea96059c7f8c9bb71d4ecdb67ea496e,12,experiment,Key,r3,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,76,24,2,other-directed,y,mérnök,építész,építész,2025-09-22 16:33:59+00:00,2025-09-22 16:09:07.462000+00:00,709.0
5ea96059c7f8c9bb71d4ecdb67ea496e,12,experiment,Key,r4,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,76,24,2,other-directed,y,mérnök,építész,építész,2025-09-22 16:33:59+00:00,2025-09-22 16:09:08.235000+00:00,773.0
5ea96059c7f8c9bb71d4ecdb67ea496e,12,experiment,Key,r5,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,76,24,2,other-directed,y,mérnök,építész,építész,2025-09-22 16:33:59+00:00,2025-09-22 16:09:09.141000+00:00,906.0
5ea96059c7f8c9bb71d4ecdb67ea496e,12,experiment,Key,r7,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,76,24,2,other-directed,y,mérnök,építész,építész,2025-09-22 16:33:59+00:00,2025-09-22 16:09:10.171000+00:00,1030.0
5ea96059c7f8c9bb71d4ecdb67ea496e,12,experiment,Key,question,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,76,24,2,other-directed,y,mérnök,építész,építész,2025-09-22 16:33:59+00:00,2025-09-22 16:09:13.712000+00:00,3541.0
