results_time,participant_id,group,trial,label,no,item,exp,condition,cb,left,right,target,r1,r2,r3,r4,r5,r6,r7,question_rt,choice_rt,choice,mismatch,chosen_type,dominant,prop_left,prop_right,total_dwell,dwell_left,dwell_right,n_fix_left,n_fix_right,transitions,tff,ffl,fixations_left,fixations_right,fixation_count_total,revisits_left,revisits_right,revisits_total
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,34,experiment,51,17,1,contrastive,n,17a,17b,17b,436.0,355.0,475.0,471.0,452.0,484.0,587.0,,5226.0,right,False,B,right,0.06,0.94,5.21,0.31,4.9,1.0,3.0,2.0,0.0,right,1.0,3.0,4.0,0.0,2.0,2.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,21,experiment,53,18,1,focus,n,18a,18b,,490.0,376.0,324.0,379.0,315.0,377.0,545.0,,1921.0,left,False,A,left,0.88,0.12,1.8,1.57,0.22,1.0,1.0,1.0,0.0,right,1.0,1.0,2.0,0.0,0.0,0.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,33,experiment,3,1,1,contrastive,n,1a,1b,1b,582.0,526.0,550.0,442.0,597.0,894.0,481.0,,1990.0,right,False,B,right,0.0,1.0,1.42,0.0,1.42,0.0,3.0,0.0,0.0,right,0.0,3.0,3.0,0.0,2.0,2.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,36,experiment,5,2,1,focus,n,2a,2b,,483.0,463.0,373.0,441.0,383.0,467.0,491.0,,970.0,left,False,A,left,1.0,0.0,0.78,0.78,0.0,1.0,0.0,0.0,0.0,left,1.0,0.0,1.0,0.0,0.0,0.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,34,experiment,7,3,1,exclusive,n,3a,3b,3a,509.0,436.0,345.0,548.0,473.0,828.0,505.0,,1390.0,left,False,A,right,0.4,0.6,1.22,0.49,0.72,2.0,2.0,3.0,0.0,right,2.0,2.0,4.0,1.0,1.0,2.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,47,experiment,12,4,1,contrastive,y,4b,4a,4b,1571.0,476.0,399.0,1215.0,477.0,1061.0,1021.0,,1305.0,left,False,B,left,1.0,0.0,1.18,1.18,0.0,2.0,0.0,0.0,0.0,left,2.0,0.0,2.0,1.0,0.0,1.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,27,experiment,14,5,1,focus,y,5b,5a,,586.0,471.0,494.0,477.0,423.0,401.0,979.0,,2037.0,right,False,A,left,0.5,0.5,1.87,0.94,0.93,2.0,1.0,2.0,0.0,left,2.0,1.0,3.0,1.0,0.0,1.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,17,experiment,16,6,1,exclusive,y,6b,6a,6a,735.0,479.0,371.0,398.0,405.0,1049.0,446.0,,1171.0,right,False,A,right,0.29,0.71,1.17,0.34,0.83,2.0,3.0,3.0,0.0,left,2.0,3.0,5.0,1.0,2.0,3.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,49,experiment,21,7,1,contrastive,n,7a,7b,7b,469.0,472.0,457.0,418.0,801.0,528.0,535.0,,1120.0,right,False,B,right,0.0,1.0,1.14,0.0,1.14,0.0,1.0,0.0,0.0,right,0.0,1.0,1.0,0.0,0.0,0.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,12,experiment,23,8,1,focus,n,8a,8b,,670.0,467.0,923.0,722.0,662.0,741.0,751.0,,1561.0,left,False,A,right,0.39,0.61,1.35,0.53,0.82,1.0,2.0,1.0,0.0,right,1.0,2.0,3.0,0.0,1.0,1.0
